grantee,routine_schema,routine_name,privilege_type
PUBLIC,extensions,pgp_sym_encrypt_bytea,EXECUTE
dashboard_user,extensions,pgp_sym_encrypt_bytea,EXECUTE
dashboard_user,extensions,pgp_sym_encrypt_bytea,EXECUTE
postgres,extensions,pgp_sym_encrypt_bytea,EXECUTE
postgres,extensions,pgp_sym_encrypt_bytea,EXECUTE
PUBLIC,extensions,pgrst_ddl_watch,EXECUTE
postgres,extensions,pgrst_ddl_watch,EXECUTE
PUBLIC,extensions,pgrst_drop_watch,EXECUTE
postgres,extensions,pgrst_drop_watch,EXECUTE
PUBLIC,extensions,set_graphql_placeholder,EXECUTE
postgres,extensions,set_graphql_placeholder,EXECUTE
PUBLIC,extensions,uuid_generate_v1,EXECUTE
dashboard_user,extensions,uuid_generate_v1,EXECUTE
postgres,extensions,uuid_generate_v1,EXECUTE
PUBLIC,extensions,uuid_generate_v1mc,EXECUTE
dashboard_user,extensions,uuid_generate_v1mc,EXECUTE
postgres,extensions,uuid_generate_v1mc,EXECUTE
PUBLIC,extensions,uuid_generate_v3,EXECUTE
dashboard_user,extensions,uuid_generate_v3,EXECUTE
postgres,extensions,uuid_generate_v3,EXECUTE
PUBLIC,extensions,uuid_generate_v4,EXECUTE
dashboard_user,extensions,uuid_generate_v4,EXECUTE
postgres,extensions,uuid_generate_v4,EXECUTE
PUBLIC,extensions,uuid_generate_v5,EXECUTE
dashboard_user,extensions,uuid_generate_v5,EXECUTE
postgres,extensions,uuid_generate_v5,EXECUTE
PUBLIC,extensions,uuid_nil,EXECUTE
dashboard_user,extensions,uuid_nil,EXECUTE
postgres,extensions,uuid_nil,EXECUTE
PUBLIC,extensions,uuid_ns_dns,EXECUTE
dashboard_user,extensions,uuid_ns_dns,EXECUTE
postgres,extensions,uuid_ns_dns,EXECUTE
PUBLIC,extensions,uuid_ns_oid,EXECUTE
dashboard_user,extensions,uuid_ns_oid,EXECUTE
postgres,extensions,uuid_ns_oid,EXECUTE
PUBLIC,extensions,uuid_ns_url,EXECUTE
dashboard_user,extensions,uuid_ns_url,EXECUTE
postgres,extensions,uuid_ns_url,EXECUTE
PUBLIC,extensions,uuid_ns_x500,EXECUTE
dashboard_user,extensions,uuid_ns_x500,EXECUTE
postgres,extensions,uuid_ns_x500,EXECUTE
PUBLIC,graphql,_internal_resolve,EXECUTE
anon,graphql,_internal_resolve,EXECUTE
authenticated,graphql,_internal_resolve,EXECUTE
postgres,graphql,_internal_resolve,EXECUTE
service_role,graphql,_internal_resolve,EXECUTE
PUBLIC,graphql,comment_directive,EXECUTE
anon,graphql,comment_directive,EXECUTE
authenticated,graphql,comment_directive,EXECUTE
postgres,graphql,comment_directive,EXECUTE
service_role,graphql,comment_directive,EXECUTE
PUBLIC,graphql,exception,EXECUTE
anon,graphql,exception,EXECUTE
authenticated,graphql,exception,EXECUTE
postgres,graphql,exception,EXECUTE
service_role,graphql,exception,EXECUTE
PUBLIC,graphql,get_schema_version,EXECUTE
anon,graphql,get_schema_version,EXECUTE
authenticated,graphql,get_schema_version,EXECUTE
postgres,graphql,get_schema_version,EXECUTE
service_role,graphql,get_schema_version,EXECUTE
PUBLIC,graphql,increment_schema_version,EXECUTE
anon,graphql,increment_schema_version,EXECUTE
authenticated,graphql,increment_schema_version,EXECUTE
postgres,graphql,increment_schema_version,EXECUTE
service_role,graphql,increment_schema_version,EXECUTE
PUBLIC,graphql,resolve,EXECUTE
anon,graphql,resolve,EXECUTE
authenticated,graphql,resolve,EXECUTE
postgres,graphql,resolve,EXECUTE
service_role,graphql,resolve,EXECUTE
PUBLIC,graphql_public,graphql,EXECUTE
anon,graphql_public,graphql,EXECUTE
authenticated,graphql_public,graphql,EXECUTE
postgres,graphql_public,graphql,EXECUTE
service_role,graphql_public,graphql,EXECUTE
PUBLIC,public,accept_ticket_and_create_mission,EXECUTE
anon,public,accept_ticket_and_create_mission,EXECUTE
authenticated,public,accept_ticket_and_create_mission,EXECUTE
postgres,public,accept_ticket_and_create_mission,EXECUTE
service_role,public,accept_ticket_and_create_mission,EXECUTE
PUBLIC,public,assign_technicien_to_mission,EXECUTE
anon,public,assign_technicien_to_mission,EXECUTE
authenticated,public,assign_technicien_to_mission,EXECUTE
postgres,public,assign_technicien_to_mission,EXECUTE
service_role,public,assign_technicien_to_mission,EXECUTE
PUBLIC,public,cancel_facture,EXECUTE
anon,public,cancel_facture,EXECUTE
authenticated,public,cancel_facture,EXECUTE
postgres,public,cancel_facture,EXECUTE
service_role,public,cancel_facture,EXECUTE
PUBLIC,public,cancel_mission,EXECUTE
anon,public,cancel_mission,EXECUTE
authenticated,public,cancel_mission,EXECUTE
postgres,public,cancel_mission,EXECUTE
service_role,public,cancel_mission,EXECUTE
PUBLIC,public,cash_dist,EXECUTE
anon,public,cash_dist,EXECUTE
authenticated,public,cash_dist,EXECUTE
postgres,public,cash_dist,EXECUTE
service_role,public,cash_dist,EXECUTE
PUBLIC,public,change_plan,EXECUTE
anon,public,change_plan,EXECUTE
authenticated,public,change_plan,EXECUTE
postgres,public,change_plan,EXECUTE
service_role,public,change_plan,EXECUTE
PUBLIC,public,check_access_module,EXECUTE
anon,public,check_access_module,EXECUTE
authenticated,public,check_access_module,EXECUTE
postgres,public,check_access_module,EXECUTE
service_role,public,check_access_module,EXECUTE
PUBLIC,public,check_disponibilites_before_diffusion,EXECUTE
anon,public,check_disponibilites_before_diffusion,EXECUTE
authenticated,public,check_disponibilites_before_diffusion,EXECUTE
postgres,public,check_disponibilites_before_diffusion,EXECUTE
service_role,public,check_disponibilites_before_diffusion,EXECUTE
PUBLIC,public,check_locataire_has_logement_for_ticket,EXECUTE
anon,public,check_locataire_has_logement_for_ticket,EXECUTE
authenticated,public,check_locataire_has_logement_for_ticket,EXECUTE
postgres,public,check_locataire_has_logement_for_ticket,EXECUTE
service_role,public,check_locataire_has_logement_for_ticket,EXECUTE
PUBLIC,public,check_quota,EXECUTE
anon,public,check_quota,EXECUTE
authenticated,public,check_quota,EXECUTE
postgres,public,check_quota,EXECUTE
service_role,public,check_quota,EXECUTE
PUBLIC,public,complete_mission,EXECUTE
anon,public,complete_mission,EXECUTE
authenticated,public,complete_mission,EXECUTE
postgres,public,complete_mission,EXECUTE
service_role,public,complete_mission,EXECUTE
PUBLIC,public,create_abonnement,EXECUTE
anon,public,create_abonnement,EXECUTE
authenticated,public,create_abonnement,EXECUTE
postgres,public,create_abonnement,EXECUTE
service_role,public,create_abonnement,EXECUTE
PUBLIC,public,create_entreprise_simple,EXECUTE
anon,public,create_entreprise_simple,EXECUTE
authenticated,public,create_entreprise_simple,EXECUTE
postgres,public,create_entreprise_simple,EXECUTE
service_role,public,create_entreprise_simple,EXECUTE
PUBLIC,public,create_entreprise_with_profile,EXECUTE
anon,public,create_entreprise_with_profile,EXECUTE
authenticated,public,create_entreprise_with_profile,EXECUTE
postgres,public,create_entreprise_with_profile,EXECUTE
service_role,public,create_entreprise_with_profile,EXECUTE
PUBLIC,public,create_system_message,EXECUTE
anon,public,create_system_message,EXECUTE
authenticated,public,create_system_message,EXECUTE
postgres,public,create_system_message,EXECUTE
service_role,public,create_system_message,EXECUTE
PUBLIC,public,create_ticket_locataire,EXECUTE
anon,public,create_ticket_locataire,EXECUTE
authenticated,public,create_ticket_locataire,EXECUTE
postgres,public,create_ticket_locataire,EXECUTE
service_role,public,create_ticket_locataire,EXECUTE
anon,public,creer_locataire_complet,EXECUTE
anon,public,creer_locataire_complet,EXECUTE
authenticated,public,creer_locataire_complet,EXECUTE
authenticated,public,creer_locataire_complet,EXECUTE
postgres,public,creer_locataire_complet,EXECUTE
postgres,public,creer_locataire_complet,EXECUTE
service_role,public,creer_locataire_complet,EXECUTE
service_role,public,creer_locataire_complet,EXECUTE
PUBLIC,public,date_dist,EXECUTE
anon,public,date_dist,EXECUTE
authenticated,public,date_dist,EXECUTE
postgres,public,date_dist,EXECUTE
service_role,public,date_dist,EXECUTE
PUBLIC,public,diffuser_ticket,EXECUTE
anon,public,diffuser_ticket,EXECUTE
authenticated,public,diffuser_ticket,EXECUTE
postgres,public,diffuser_ticket,EXECUTE
service_role,public,diffuser_ticket,EXECUTE
PUBLIC,public,float4_dist,EXECUTE
anon,public,float4_dist,EXECUTE
authenticated,public,float4_dist,EXECUTE
postgres,public,float4_dist,EXECUTE
service_role,public,float4_dist,EXECUTE
PUBLIC,public,float8_dist,EXECUTE
anon,public,float8_dist,EXECUTE
authenticated,public,float8_dist,EXECUTE
